OrderID,OrderDate,Region,City,Category,SubCategory,ProductName,CustomerName,Segment,Sales,Quantity,Discount,Profit
1,12/11/2023, SOUTH,,FURNITURE,Shirt,HP,,,85111,2,0.05,9413.87
2,21-04-2023,South,Chennai,electronics,Chair,HP,Karan,consumer,39905,2,0.1,4663.16
3,17-08-2023,West,,FURNITURE,Jeans,Samsung,Karan,Consumer,37553,1,,3897.19
4,5/8/2023,West,Bangalore,Clothing,Table,Headphones,Sneha,consumer,42971,1,0.15,-2578.93
5,23-10-2023,South,Kolkata,Electronics,Table,iPhone,Rahul,Consumer,,1,0,-3542.37
6,8/2/2023, SOUTH,Hyderabad,electronics,Jeans,Samsung,,Home Office,23059,4,0.15,-1173.14
7,21-08-2023,North,Chennai,electronics,Mobile,HP,Pooja,,23566,3,,-128.45
8,27-04-2023,West,Bangalore,Clothing,,Samsung,Amit,Consumer,23179,1,0.05,5910.33
9,29-11-2023,East,Bangalore,Electronics,,Chair,Rahul,Corporate,49864,1,0.1,8229.81
10,26-06-2023, SOUTH,Bangalore,Furniture,,Jeans,Amit,Home Office,13484,3,0.05,783
11,11/16/2023,West,Hyderabad,Electronics,,Table,Karan,Corporate,5862,4,,604.95
12,4/15/2023, SOUTH,Delhi,Electronics,Jeans,Dell,,Home Office,14950,1,0,1305.41
13,25-06-2023,South,Hyderabad,electronics,Accessories,iPhone,Neha,consumer,6457,5,0.05,-798.64
14,6/4/2023,East,Pune,electronics,,HP,Pooja,Home Office,14380,4,0.1,2814.13
15,9/11/2023, SOUTH,Patna,Electronics,Shirt,Dell,Sneha,,31094,5,0.15,2921.66
16,27-03-2023,North,Delhi,Clothing,Shirt,Table,Sneha,Home Office,70378,3,0.1,-9402.5
17,4/4/2023, SOUTH,Chennai,Furniture,,iPhone,Arjun,Consumer,83700,2,0.1,-7290.52
18,22-05-2023,South,,Clothing,Chair,Jeans,Pooja,Corporate,37492,4,0.05,4685.52
19,2/10/2023, SOUTH,Pune,Electronics,Mobile,Jeans,Karan,,16842,2,0.1,-1522.99
20,13-11-2023,East,Chennai,Furniture,Mobile,Dell,Karan,Corporate,11731,1,,2597.27
21,4/12/2023,West,Patna,FURNITURE,Shirt,Dell,Pooja,consumer,10077,5,0.05,1681.62
22,23-06-2023,North ,Hyderabad,FURNITURE,Chair,iPhone,Arjun,Corporate,59869,1,,-9517.46
23,11/10/2023,North ,Kolkata,electronics,Mobile,Jeans,Neha,Home Office,,5,0.15,1667.02
24,13-02-2023, SOUTH,Pune,Furniture,Laptop,Table,Priya,Consumer,4322,5,0.05,-328.28
25,25-07-2023,East,Chennai,Electronics,Laptop,Dell,Amit,Home Office,6169,3,0.1,359.37
26,1/7/2023,west,Delhi,Clothing,Laptop,Shirt,Arjun,consumer,36063,4,0,-1589.29
27,3/1/2023,East,Kolkata,Furniture,Accessories,Samsung,Arjun,Corporate,36485,5,0,6844.78
28,5/9/2023,North,,Clothing,Laptop,Table,Amit,Home Office,60597,5,0,4485.95
29,17-10-2023,west,Patna,Electronics,Accessories,Jeans,Karan,Home Office,89750,4,0,1935.47
30,16-03-2023, SOUTH,,FURNITURE,Mobile,Table,Sneha,,28938,3,0,6035.58
31,15-06-2023,North ,Hyderabad,Furniture,Chair,Table,Priya,Consumer,22157,2,0,-3466.07
32,13-06-2023,South,,Furniture,Accessories,Headphones,Neha,,54198,1,,-7563.38
33,3/3/2023, SOUTH,Chennai,Electronics,Accessories,Dell,Neha,Consumer,18134,1,0.05,2295.16
34,22-01-2023,West,Kolkata,Furniture,,iPhone,Priya,consumer,76608,3,0.15,2560.48
35,11/5/2023,South,Delhi,FURNITURE,,HP,,Corporate,61701,4,0.15,-2057.16
36,17-10-2023,west,Bangalore,Furniture,Chair,Headphones,Amit,Home Office,77037,5,0.15,17344.51
37,9/5/2023,South,Chennai,Clothing,Shirt,Jeans,Neha,consumer,82122,5,0.15,-14511.44
38,3/31/2023,west,Pune,electronics,Accessories,Chair,Sneha,Consumer,76826,1,0,7024.75
39,4/9/2023, SOUTH,Bangalore,,Table,Jeans,Sneha,Home Office,74635,2,0.1,-12949.34
40,5/7/2023,North,Bangalore,,Chair,Table,Priya,consumer,11728,1,,1338.9
41,3/12/2023,west,,FURNITURE,Mobile,Table,Karan,Corporate,82137,4,0.1,20698.69
42,30-10-2023,South,Pune,Electronics,Table,Samsung,Rahul,Home Office,40603,3,,1586.67
43,27-07-2023,west,,FURNITURE,,Shirt,Priya,Consumer,66620,3,,17699.41
44,3/6/2023,west,Bangalore,Furniture,,Jeans,Pooja,,14594,3,0,-1871.69
45,4/10/2023,West,,Clothing,Shirt,Table,Priya,Corporate,35716,4,0.15,-5879.11
46,6/24/2023,North,Kolkata,electronics,Laptop,Dell,Arjun,Consumer,89702,1,,-12926.87
47,8/11/2023,East,Mumbai,,Jeans,Jeans,Amit,Consumer,69411,2,0,10508.94
48,18-01-2023,East,Bangalore,electronics,,iPhone,Neha,Corporate,81313,1,0.05,-593.32
49,14-04-2023,East,Pune,,Laptop,Samsung,,,64847,5,,15448.69
50,5/12/2023,East,Mumbai,electronics,Chair,HP,Karan,consumer,1339,4,0.1,-267.44
51,23-03-2023,North,Pune,electronics,Chair,iPhone,Arjun,Consumer,56394,1,0.15,-2304.4
52,17-06-2023,South,Mumbai,,,Chair,Arjun,Home Office,14366,5,,326.01
53,17-07-2023,,Kolkata,electronics,,Shirt,Neha,Corporate,11693,5,0,577.73
54,2/4/2023,North,Chennai,Clothing,Mobile,Shirt,Amit,Home Office,49066,1,0.15,7809.94
55,2/4/2023,west,Mumbai,FURNITURE,Chair,Table,Sneha,,88408,4,0.1,21676.12
56,26-08-2023,West,Bangalore,Furniture,Accessories,HP,Rahul,consumer,,1,0.05,194.27
57,11/4/2023,West,Kolkata,Electronics,Table,Table,Priya,consumer,27973,4,0.05,5326.43
58,5/6/2023,North,,electronics,Jeans,Headphones,Priya,,69415,1,0.15,1324.7
59,21-04-2023,,Chennai,Clothing,Chair,Chair,Arjun,,98749,3,,22855.03
60,2/5/2023,West,Pune,,Accessories,Table,Priya,,19855,3,,-1728.63
61,26-03-2023,North ,Hyderabad,Furniture,Laptop,HP,Amit,Corporate,90433,1,0.1,-8360.7
62,11/6/2023,,Hyderabad,Furniture,Laptop,Dell,Priya,Home Office,87485,3,,1362.72
63,21-12-2023, SOUTH,Delhi,electronics,Jeans,Dell,Sneha,,34110,3,0.05,2421.27
64,13-04-2023,North,,electronics,,HP,Pooja,,8819,1,0.05,2076.13
65,21-08-2023, SOUTH,Mumbai,Furniture,Table,HP,Priya,Home Office,33342,2,0,3315.57
66,29-09-2023, SOUTH,Patna,Furniture,Chair,Dell,Amit,Consumer,69007,5,0,20106.1
67,16-10-2023,North,Chennai,electronics,Accessories,HP,,Corporate,29076,2,0.1,-816.85
68,18-09-2023, SOUTH,Mumbai,Clothing,Table,Samsung,Amit,,68187,4,,8772.92
69,1/3/2023,South,Hyderabad,FURNITURE,Accessories,Samsung,Priya,Home Office,89618,4,,-12877.55
70,3/4/2023,,Mumbai,,Chair,HP,Neha,,28826,4,0.15,-1770.4
71,6/9/2023,South,Bangalore,,Shirt,Dell,Karan,,25487,5,,-4918.28
72,26-01-2023,North,Patna,FURNITURE,Laptop,Headphones,Arjun,consumer,71653,4,0.15,5015.33
73,20-08-2023,,,Clothing,Mobile,Chair,Pooja,,59022,4,0.05,1824.29
74,9/8/2023,North,Bangalore,,Mobile,iPhone,Rahul,Corporate,27164,5,0,2793.3
75,11/11/2023, SOUTH,Chennai,Electronics,Laptop,Headphones,Neha,,8074,2,0,-595.63
76,22-10-2023,North,,,Table,Dell,Priya,,9497,4,,-1260.46
77,9/3/2023,West,Mumbai,Clothing,Chair,Dell,Rahul,Consumer,51212,2,0,13678.81
78,18-02-2023,west,Chennai,electronics,Mobile,Chair,,,96900,5,0.05,-10821.4
79,2/28/2023,West,Bangalore,,Shirt,HP,Karan,consumer,29178,2,,7333.69
80,13-03-2023,East,Hyderabad,FURNITURE,Laptop,Dell,Karan,Home Office,11571,1,0.15,555.71
81,20-02-2023,North ,Patna,Furniture,Accessories,Table,Sneha,Corporate,87476,4,0.1,-14651.8
82,7/12/2023,North,Bangalore,Electronics,Mobile,Headphones,Pooja,,68648,5,0.15,-12873.58
83,17-01-2023,,Pune,Clothing,Table,Jeans,Pooja,consumer,48089,1,0.05,-2889.02
84,1/2/2023, SOUTH,Chennai,,Accessories,Chair,Priya,Home Office,62966,3,0,-8496.25
85,24-04-2023, SOUTH,Patna,electronics,Accessories,Dell,,Home Office,32402,1,0.1,-4135.81
86,16-12-2023,South,Delhi,electronics,Mobile,HP,Priya,,22517,3,0.1,-2701.43
87,1/17/2023,East,Kolkata,Clothing,,iPhone,,,4044,1,,-269.5
88,1/12/2023,West,Patna,FURNITURE,Laptop,HP,Karan,,81022,5,0.05,12955.63
89,1/9/2023,west,Mumbai,electronics,Jeans,Dell,Karan,Corporate,21877,5,,-3508.68
90,13-04-2023,West,Kolkata,,Shirt,Jeans,Arjun,Consumer,90529,5,0,25223.92
91,12/4/2023,west,Delhi,electronics,Accessories,iPhone,Rahul,Consumer,17145,3,0.15,-1659.95
92,24-08-2023,west,Bangalore,FURNITURE,Table,HP,Priya,consumer,22118,3,0,3424.67
93,30-11-2023,North,Mumbai,FURNITURE,,Shirt,Amit,,48559,4,0,-4857.51
94,3/2/2023,North ,Hyderabad,Electronics,Accessories,HP,Karan,Home Office,40983,3,0,3318.74
95,3/7/2023,west,Kolkata,Furniture,,Jeans,Rahul,Corporate,43278,1,0.05,3937.36
96,21-04-2023,,Delhi,electronics,,iPhone,Amit,Corporate,89254,1,0.05,-8182.97
97,14-02-2023,West,Kolkata,Clothing,Accessories,Jeans,Amit,,85176,5,0.15,2227.37
98,24-09-2023,North ,Chennai,,Mobile,Table,Priya,Corporate,11054,1,0.15,-1962.94
99,19-10-2023,,Hyderabad,FURNITURE,Shirt,Samsung,Arjun,Home Office,74901,2,0.15,6606.82
100,31-01-2023,North,,Furniture,,Samsung,Priya,consumer,35025,3,0,-271.51
101,21-08-2023,west,Pune,,Jeans,Dell,Rahul,,12686,1,0.15,768.29
102,24-10-2023,East,Bangalore,electronics,,Headphones,,,56049,4,0.15,-7880.36
103,30-05-2023,East,Pune,,Mobile,Samsung,Arjun,Corporate,38950,1,0,-5302.26
104,30-07-2023,west,Kolkata,Electronics,Laptop,Shirt,Arjun,Corporate,70707,1,0.1,15823.1
105,12/11/2023, SOUTH,Delhi,FURNITURE,,Headphones,Arjun,Home Office,83535,5,,8297.97
106,24-03-2023,South,Pune,Electronics,Table,HP,Priya,consumer,3688,5,0.15,431.21
107,10/4/2023,North,Mumbai,electronics,Jeans,iPhone,Priya,Corporate,62060,4,0.1,9106.46
108,13-01-2023,North,Patna,Furniture,Laptop,iPhone,Pooja,Home Office,10661,4,0,1689.32
109,30-09-2023,west,Mumbai,,Mobile,HP,Priya,Home Office,8375,4,0,2247.42
110,15-05-2023,East,Delhi,FURNITURE,Shirt,Dell,Arjun,Home Office,54702,4,0,11724.92
111,5/1/2023,North,,FURNITURE,Table,Headphones,Karan,,83243,1,0.1,14951.28
112,19-05-2023,North ,Mumbai,electronics,Accessories,Chair,Pooja,Consumer,36504,1,0.1,6906.4
113,12/2/2023, SOUTH,Bangalore,FURNITURE,Chair,Dell,Pooja,Consumer,60617,1,0.05,9887.6
114,26-06-2023,West,Hyderabad,Electronics,Mobile,Chair,Arjun,,11751,4,0,1126.64
115,12/3/2023,South,Bangalore,electronics,Accessories,Headphones,Arjun,Home Office,38294,4,0.1,1996.8
116,18-05-2023,west,Chennai,,Chair,iPhone,Karan,consumer,2502,5,0.05,482.62
117,12/18/2023,west,Mumbai,FURNITURE,Shirt,iPhone,Priya,consumer,36597,1,0.05,-6629.31
118,4/8/2023,East,Kolkata,,Laptop,Samsung,,Corporate,93544,5,0.05,16621.17
119,9/3/2023,East,Patna,,Mobile,Chair,Amit,,46728,2,0,-3662.72
120,22-02-2023,west,Patna,,Jeans,HP,Amit,Home Office,79187,2,,13241.92
121,15-06-2023,South,Pune,electronics,Table,Headphones,Karan,Corporate,18087,3,0.15,-1183.86
122,8/23/2023,East,Patna,Furniture,,HP,Sneha,,36710,5,,3778.6
123,18-04-2023,North ,Mumbai,,Chair,Samsung,Priya,Consumer,5414,4,0.05,-622.21
124,7/21/2023,North ,Kolkata,,Chair,Shirt,Pooja,Corporate,12080,4,0.15,-2261.61
125,17-05-2023,East,Chennai,Electronics,Chair,iPhone,Karan,,88161,1,0,13828.42
126,27-08-2023,East,,FURNITURE,,Headphones,Neha,,99986,2,0,-12962.67
127,5/5/2023, SOUTH,Chennai,Furniture,Chair,Chair,Karan,consumer,25040,2,0.1,6600.08
128,25-04-2023,North ,,electronics,Laptop,Headphones,Pooja,Consumer,38132,3,0.1,-5821.96
129,28-09-2023,North ,,electronics,Chair,Chair,Pooja,Corporate,42883,4,0.1,8098.32
130,8/31/2023,South,,FURNITURE,Mobile,iPhone,Arjun,Home Office,12613,2,0,1266.96
131,9/1/2023,west,,Furniture,Table,Headphones,Priya,,74204,3,0.15,5581.67
132,10/9/2023,North,Bangalore,electronics,Shirt,iPhone,Neha,consumer,18991,1,,-2213.67
133,10/5/2023, SOUTH,Mumbai,Electronics,Laptop,Samsung,Priya,Home Office,33236,5,0,6983.31
134,13-06-2023,North,,Furniture,Chair,Samsung,Karan,Consumer,68401,1,0.05,15093.5
135,10/11/2023,west,Chennai,FURNITURE,Laptop,HP,Neha,Home Office,12636,3,0.1,743.84
136,21-01-2023,,Patna,Clothing,Mobile,HP,,,30055,5,,5220.21
137,16-03-2023,North,Hyderabad,Clothing,Laptop,Table,Arjun,Home Office,54331,2,0.15,-7044.55
138,26-07-2023,,Patna,electronics,Mobile,Shirt,Karan,,75851,4,0.1,2213.98
139,20-11-2023,East,Chennai,FURNITURE,Laptop,Chair,Karan,consumer,82638,5,0.1,-11211.04
140,4/10/2023,East,Kolkata,Furniture,,Dell,Amit,consumer,28510,1,0,7969.58
141,1/1/2023,North,Pune,FURNITURE,Table,iPhone,Neha,Corporate,33828,3,0,-5629.49
142,29-12-2023,,Delhi,FURNITURE,Table,Chair,,consumer,4385,5,0.15,-80.97
143,16-07-2023, SOUTH,,electronics,Shirt,Table,Sneha,consumer,56782,3,,6679.25
144,13-10-2023,West,Pune,,Laptop,Samsung,Rahul,Consumer,40096,4,0.1,605
145,3/6/2023,North,Hyderabad,Furniture,Shirt,iPhone,Pooja,Home Office,,1,,-3942.98
146,1/14/2023,East,Delhi,Clothing,Laptop,iPhone,,,43841,1,,6633.48
147,3/17/2023, SOUTH,Kolkata,Electronics,Table,Jeans,,,19779,4,0,5242
148,4/11/2023,North,Kolkata,Clothing,Laptop,Jeans,Sneha,Consumer,65368,4,0.05,-3755.97
149,5/8/2023,West,Kolkata,electronics,Chair,HP,Priya,Home Office,1668,1,0.15,114.27
150,31-12-2023,west,,Electronics,Jeans,Samsung,Karan,Home Office,58255,4,0.05,-6020.06
151,27-05-2023,North,Chennai,Clothing,Mobile,iPhone,Rahul,Consumer,64033,2,,15110.83
152,9/2/2023,East,Delhi,electronics,Shirt,Headphones,Priya,Consumer,2721,3,0,593.91
153,3/18/2023,West,Kolkata,FURNITURE,Accessories,Shirt,,Consumer,83291,2,0,-3250.06
154,4/2/2023,East,Bangalore,Furniture,Accessories,Dell,Rahul,Consumer,18278,4,0.1,-2847.87
155,23-04-2023,East,Bangalore,electronics,Jeans,Samsung,Neha,Consumer,21076,1,0,-579.19
156,1/10/2023, SOUTH,Pune,electronics,,Headphones,Priya,,70597,4,0.15,20451.82
157,25-04-2023,North ,Bangalore,FURNITURE,Table,Headphones,Karan,,35579,2,,4818.21
